Date,Open,High,Low,Close,Adj Close,Volume
2017/7/14,90.80999756,92.61000061,90.58000183,92.25,76.12622833,22235200
2017/7/17,91.81999969,91.98999786,91.25,91.38999939,75.41653442,14374200
2017/7/18,90.44999695,91.58000183,90.31999969,91.06999969,75.15246582,14719400
2017/7/19,91.33999634,91.62000275,91,91.19999695,75.25973511,11651200
2017/7/20,91.15000153,91.72000122,90.90000153,91.19999695,75.25973511,11561700
2017/7/21,91.05999756,91.36000061,90.51999664,90.88999939,75.00392914,10971300
2017/7/24,90.95999908,91.54000092,90.91000366,91.27999878,75.32575226,10725100
2017/7/25,92.37000275,93.51999664,92.26999664,92.80000305,76.58009338,16447700
2017/7/26,93.09999847,93.19000244,91.68000031,91.93000031,75.86213684,11815500
2017/7/27,91.83000183,92.05999756,91.16000366,91.55000305,75.54855347,12332400
2017/7/28,91.44999695,91.75,90.91000366,91.27999878,75.32575226,9351900
2017/7/31,91.51000214,92.36000061,91.5,91.80000305,75.75487518,11520300
2017/8/1,92.48999786,93.13999939,92.27999878,93.02999878,76.76989746,12523700
2017/8/2,92.87000275,93.20999908,92.51000214,93.11000061,76.83589935,10165600
2017/8/3,92.69999695,93.12999725,92.23999786,92.5,76.33253479,11078800
2017/8/4,93.5,94.40000153,93.47000122,93.66000366,77.2897644,14324000
2017/8/7,93.88999939,94.19000244,93.70999908,94.01999664,77.58685303,7978300
2017/8/8,93.94999695,95.22000122,93.59999847,93.68000031,77.30627441,13745400
2017/8/9,92.98000336,93.68000031,92.83000183,93.52999878,77.18248749,11214400
2017/8/10,92.90000153,93.06999969,92.06999969,92.19000244,76.07670593,13252300
2017/8/11,92.12999725,92.66999817,91.23999786,91.41999817,75.44127655,10679500
2017/8/14,92.37000275,92.90000153,92.33000183,92.48999786,76.32424164,10994800
2017/8/15,93.30999756,93.55999756,92.65000153,92.73000336,76.52231598,8812700
2017/8/16,93.04000092,93.23000336,91.87999725,92.08999634,75.9941864,11085400
2017/8/17,91.76000214,91.95999908,90.5,90.65000153,74.80588531,13837500
2017/8/18,90.30999756,91.54000092,90.19000244,90.73999786,74.88013458,13040700
2017/8/21,90.84999847,90.94000244,90.16000366,90.62999725,74.78938293,11502100
2017/8/22,91.06999969,91.70999908,91,91.55999756,75.55683899,9211800
2017/8/23,90.87000275,92.33999634,90.83999634,91.66999817,75.64759827,8811300
2017/8/24,91.93000031,92.12000275,91.41000366,91.51999664,75.52379608,8623200
2017/8/25,91.87999725,92.48000336,91.80000305,91.88999939,75.82913971,11794600
2017/8/28,92.16000366,92.19000244,91.12999725,91.59999847,75.58982086,7292900
2017/8/29,90.44999695,91.30999756,90.30999756,91.09999847,75.17720795,10886100
2017/8/30,91.25,91.87999725,91.19000244,91.30999756,75.3505249,9165300
2017/8/31,91.80999756,91.84999847,90.80000305,90.88999939,75.00392914,13217400
2017/9/1,91.25,92.36000061,90.94999695,91.69999695,75.67234802,9815800
2017/9/5,91.01999664,91.11000061,89.01999664,89.51000214,73.8651123,16897300
2017/9/6,90,90.51999664,89.63999939,90.11000061,74.36025238,11845700
2017/9/7,90.11000061,90.12999725,88.08000183,88.52999878,73.05641937,14592300
2017/9/8,88.30999756,89.41999817,88.23999786,88.41999817,72.96562195,14242200
2017/9/11,89.38999939,90.25,88.94999695,89.79000092,74.09618378,13219000
2017/9/12,90.16999817,91.25,90.09999847,90.88999939,75.00392914,14003800
2017/9/13,90.61000061,91.5,90.31999969,91.15000153,75.21851349,12485400
2017/9/14,91.19999695,91.52999878,90.73999786,90.97000122,75.06993866,10562800
2017/9/15,91.08000183,91.70999908,90.76000214,91.62000275,75.60632324,18171800
2017/9/18,91.93000031,93.13999939,91.84999847,92.91999817,76.6791153,11318700
2017/9/19,92.70999908,94.36000061,92.51999664,93.94000244,77.52082825,12626100
2017/9/20,94.09999847,95.29000092,93.70999908,94.59999847,78.06545258,15311600
2017/9/21,94.45999908,95.37000275,94.19000244,95.02999878,78.42031097,10851500
2017/9/22,94.69999695,94.98000336,94.43000031,94.83000183,78.2552948,8358300
2017/9/25,94.51000214,94.87999725,93.44999695,94.12000275,77.66938019,10463400
2017/9/26,93.77999878,94.02999878,93.33999634,93.69999695,77.32276917,9358100
2017/9/27,94.97000122,95.72000122,94.58000183,95.18000031,78.54410553,15090200
2017/9/28,95.58999634,95.87999725,94.91000366,95.37999725,78.70914459,10270400
2017/9/29,95.30000305,95.51999664,95.01999664,95.51000214,78.81642914,11438400
2017/10/2,95.76999664,96.87999725,95.45999908,96.83999634,79.91395569,13797200
2017/10/3,96.83000183,97.43000031,96.76999664,97.34999847,80.33483124,9633500
2017/10/4,97.30000305,97.44000244,96.27999878,96.36000061,79.51785278,12166600
2017/10/5,96,97.40000153,95.55000305,97.08999634,80.58859253,14236200
2017/10/6,97.55000305,97.63999939,96.47000122,96.91999817,80.44750977,10231900
2017/10/9,96.95999908,97.06999969,96.13999939,96.41000366,80.02420044,7765100
2017/10/10,96.45999908,97.18000031,96.23999786,97.12999725,80.62180328,10631500
2017/10/11,96.83000183,97.01000214,96.13999939,96.83999634,80.38111115,14283600
2017/10/12,97.30000305,97.5,95.62000275,95.98999786,79.67556,18251600
2017/10/13,95.48000336,96.70999908,94.95999908,95.86000061,79.56767273,13190600
2017/10/16,96.33999634,97.94999695,96.33999634,97.83999634,81.21114349,12434000
2017/10/17,98.06999969,98.18000031,97.31999969,97.62000275,81.02854156,10335700
2017/10/18,98.15000153,98.55000305,97.62999725,97.98999786,81.33563995,10158600
2017/10/19,97.19000244,98.19999695,97.08999634,98.11000061,81.43524933,9133900
2017/10/20,99.27999878,99.88999939,98.73000336,99.51000214,82.5973053,15326600
2017/10/23,99.51000214,99.98999786,99.23999786,99.33999634,82.45619202,9238600
2017/10/24,99.87999725,101.1900024,99.76000214,100.9199982,83.76765442,13000800
2017/10/25,101.25,101.4499969,100.1900024,101.0199966,83.85066986,14632700
2017/10/26,101.3499985,102.4199982,101.3199997,101.7399979,84.44828796,13054400
2017/10/27,101.4300003,102.2300034,101.0500031,101.7699966,84.47317505,10400400
